阿蘇下田城ふれあい温泉,あそしもだじょうふれあいおんせん,[a so shi mo da jo u fu re a i o n se n],15
阿蘇白川,あそしらかわ,[a so shi ra ka wa],6
阿曽原,あそはら,[a so ha ra],4
愛宕,あたご,[a ta go],3
愛宕,あたご,[a ta go],3
愛宕橋,あたごばし,[a ta go ba shi],5
新鹿,あたしか,[a ta shi ka],4
安達,あだち,[a da chi],3
足立小台,あだちおだい,[a da chi o da i],6
熱海,あたみ,[a ta mi],3
阿田和,あたわ,[a ta wa],3
厚保,あつ,[a tsu],2
厚賀,あつが,[a tsu ga],3
厚木,あつぎ,[a tsu gi],3
厚岸,あっけし,[a t ke shi],4
朝来,あっそ,[a t so],3
熱田,あつた,[a tsu ta],3
安土,あづち,[a zu chi],3
厚床,あっとこ,[a t to ko],4
厚内,あつない,[a tsu na i],4
安比高原,あっぴこうげん,[a t pi ko u ge n],7
厚別,あつべつ,[a tsu be tsu],4
吾妻,あづま,[a zu ma],3
あつみ温泉,あつみおんせん,[a tsu mi o n se n],7
左沢,あてらざわ,[a te ra za wa],5
安登,あと,[a to],2
安曇川,あどがわ,[a do ga wa],4
穴川,あながわ,[a na ga wa],4
穴川,あながわ,[a na ga wa],4
穴内,あなない,[a na na i],4
穴吹,あなぶき,[a na bu ki],4
穴部,あなべ,[a na be],3
穴水,あなみず,[a na mi zu],4
穴守稲荷,あなもりいなり,[a na mo ri i na ri],7
穴山,あなやま,[a na ya ma],4
阿南,あなん,[a na n],3
阿仁合,あにあい,[a ni a i],4
兄畑,あにはた,[a ni ha ta],4
阿仁前田,あにまえだ,[a ni ma e da],5
姉ケ崎,あねがさき,[a ne ga sa ki],5
姉別,あねべつ,[a ne be tsu],4
穴太,あのう,[a no u],3
穴太,あのお,[a no o],3
穴生,あのお,[a no o],3
網走,あばしり,[a ba shi ri],4
網引,あびき,[a bi ki],3
我孫子,あびこ,[a bi ko],3
我孫子,あびこ,[a bi ko],3
我孫子町,あびこちょう,[a bi ko cho u],5
我孫子前,あびこまえ,[a bi ko ma e],5
安平,あびら,[a bi ra],3
あぶくま,あぶくま,[a bu ku ma],4
アプトいちしろ,あぷといちしろ,[a pu to i chi shi ro],7
油川,あぶらかわ,[a bu ra ka wa],5
油津,あぶらつ,[a bu ra tsu],4
油田,あぶらでん,[a bu ra de n],5
油日,あぶらひ,[a bu ra hi],4
阿夫利神社,あふりじんじゃ,[a fu ri ji n ja],6
安部,あべ,[a be],2
安倍川,あべかわ,[a be ka wa],4
阿倍野,あべの,[a be no],3
安部山公園,あべやまこうえん,[a be ya ma ko u e n],8
阿母崎,あぼざき,[a bo za ki],4
網干,あぼし,[a bo shi],3
海士有木,あまありき,[a ma a ri ki],5
尼ヶ坂,あまがさか,[a ma ga sa ka],5
尼崎,あまがさき,[a ma ga sa ki],5
尼崎,あまがさき,[a ma ga sa ki],5
天ケ瀬,あまがせ,[a ma ga se],4
尼ヶ辻,あまがつじ,[a ma ga tsu ji],5
甘木,あまぎ,[a ma gi],3
尼子,あまご,[a ma go],3
甘地,あまじ,[a ma ji],3
天津,あまつ,[a ma tsu],3
天橋立,あまのはしだて,[a ma no ha shi da te],7
雨晴,あまはらし,[a ma ha ra shi],5
天見,あまみ,[a ma mi],3
あまや,あまや,[a ma ya],3
余子,あまりこ,[a ma ri ko],4
餘部,あまるべ,[a ma ru be],4
余目,あまるめ,[a ma ru me],4
網野,あみの,[a mi no],3
安茂里,あもり,[a mo ri],3
綾織,あやおり,[a ya o ri],4
綾川,あやがわ,[a ya ga wa],4
愛子,あやし,[a ya shi],3
綾瀬,あやせ,[a ya se],3
綾部,あやべ,[a ya be],3
菖蒲池,あやめいけ,[a ya me i ke],5
あやめ公園,あやめこうえん,[a ya me ko u e n],7
綾羅木,あやらぎ,[a ya ra gi],4
鮎貝,あゆかい,[a yu ka i],4
鮎川,あゆかわ,[a yu ka wa],4
新井,あらい,[a ra i],3
荒井,あらい,[a ra i],3
荒井,あらい,[a ra i],3
新井宿,あらいじゅく,[a ra i ju ku],5
新居町,あらいまち,[a ra i ma chi],5
新井薬師前,あらいやくしまえ,[a ra i ya ku shi ma e],8
荒尾,あらお,[a ra o],3
荒尾,あらお,[a ra o],3
荒河かしの木台,あらがかしのきだい,[a ra ga ka shi no ki da i],9
荒川沖,あらかわおき,[a ra ka wa o ki],6
新木,あらき,[a ra ki],3
荒木,あらき,[a ra ki],3
荒子,あらこ,[a ra ko],3
荒子川公園,あらこがわこうえん,[a ra ko ga wa ko u e n],9
荒島,あらしま,[a ra shi ma],4
嵐山,あらしやま,[a ra shi ya ma],5
嵐山,あらしやま,[a ra shi ya ma],5
荒瀬,あらせ,[a ra se],3
新野,あらたの,[a ra ta no],4
新瑞橋,あらたまばし,[a ra ta ma ba shi],6
荒砥,あらと,[a ra to],3
荒畑,あらはた,[a ra ha ta],4
荒浜,あらはま,[a ra ha ma],4
荒本,あらもと,[a ra mo to],4
新屋,あらや,[a ra ya],3
新屋,あらや,[a ra ya],3
荒屋新町,あらやしんまち,[a ra ya shi n ma chi],7
荒谷前,あらやまえ,[a ra ya ma e],5
有明,ありあけ,[a ri a ke],4
有明,ありあけ,[a ri a ke],4
有明湯江,ありあけゆえ,[a ri a ke yu e],6
有井,ありい,[a ri i],3
有井川,ありいがわ,[a ri i ga wa],5
有岡,ありおか,[a ri o ka],4
有壁,ありかべ,[a ri ka be],4
有佐,ありさ,[a ri sa],3
有栖川,ありすがわ,[a ri su ga wa],5
有田,ありた,[a ri ta],3
有戸,ありと,[a ri to],3
有畑,ありはた,[a ri ha ta],4
有馬温泉,ありまおんせん,[a ri ma o n se n],7
有馬温泉,ありまおんせん,[a ri ma o n se n],7
有間川,ありまがわ,[a ri ma ga wa],5
有馬口,ありまぐち,[a ri ma gu chi],5
有松,ありまつ,[a ri ma tsu],4
有峰口,ありみねぐち,[a ri mi ne gu chi],6
在良,ありよし,[a ri yo shi],4
安和,あわ,[a wa],2
阿波赤石,あわあかいし,[a wa a ka i shi],6
安房天津,あわあまつ,[a wa a ma tsu],5
粟井,あわい,[a wa i],3
阿波池田,あわいけだ,[a wa i ke da],5
阿波大谷,あわおおたに,[a wa o o ta ni],6
阿波大宮,あわおおみや,[a wa o o mi ya],6
阿波海南,あわかいなん,[a wa ka i na n],6
粟ヶ崎,あわがさき,[a wa ga sa ki],5
安房勝山,あわかつやま,[a wa ka tsu ya ma],6
阿波加茂,あわかも,[a wa ka mo],4
安房鴨川,あわかもがわ,[a wa ka mo ga wa],6
阿波川口,あわかわぐち,[a wa ka wa gu chi],6
阿波川島,あわかわしま,[a wa ka wa shi ma],6
阿波川端,あわかわばた,[a wa ka wa ba ta],6
あわくら温泉,あわくらおんせん,[a wa ku ra o n se n],8
安房小湊,あわこみなと,[a wa ko mi na to],6
阿波座,あわざ,[a wa za],3
淡路,あわじ,[a wa ji],3
淡路町,あわじちょう,[a wa ji cho u],5
阿波橘,あわたちばな,[a wa ta chi ba na],6
粟津,あわづ,[a wa zu],3
粟津,あわづ,[a wa zu],3
阿波富田,あわとみだ,[a wa to mi da],5
阿波中島,あわなかしま,[a wa na ka shi ma],6
粟野,あわの,[a wa no],3
阿波半田,あわはんだ,[a wa ha n da],5
阿波福井,あわふくい,[a wa fu ku i],5
阿波山川,あわやまかわ,[a wa ya ma ka wa],6
芦原温泉,あわらおんせん,[a wa ra o n se n],7
あわら湯のまち,あわらゆのまち,[a wa ra yu no ma chi],7
安城,あんじょう,[a n jo u],4
安針塚,あんじんづか,[a n ji n zu ka],6
安善,あんぜん,[a n ze n],4
安足間,あんたろま,[a n ta ro ma],5
安堂,あんどう,[a n do u],4
安中,あんなか,[a n na ka],4
安中榛名,あんなかはるな,[a n na ka ha ru na],7
飯井,いい,[i i],2
飯岡,いいおか,[i i o ka],4
飯倉,いいぐら,[i i gu ra],4
飯坂温泉,いいざかおんせん,[i i za ka o n se n],8
飯島,いいじま,[i i ji ma],4
飯田,いいだ,[i i da],3
飯田岡,いいだおか,[i i da o ka],5
飯田橋,いいだばし,[i i da ba shi],5
飯塚,いいづか,[i i zu ka],4
飯詰,いいづめ,[i i zu me],4
飯沼,いいぬま,[i i nu ma],4
飯浦,いいのうら,[i i no u ra],5
飯羽間,いいばま,[i i ba ma],4
飯森,いいもり,[i i mo ri],4
飯山,いいやま,[i i ya ma],4
家城,いえき,[i e ki],3
家地川,いえぢがわ,[i e ji ga wa],5
家中,いえなか,[i e na ka],4
家久,いえひさ,[i e hi sa],4
家山,いえやま,[i e ya ma],4
医王寺前,いおうじまえ,[i o u ji ma e],6
伊尾木,いおき,[i o ki],3
井荻,いおぎ,[i o gi],3
伊賀,いが,[i ga],2
伊賀上野,いがうえの,[i ga u e no],5
伊香牛,いかうし,[i ka u shi],4
伊賀神戸,いがかんべ,[i ga ka n be],5
伊賀上津,いがこうづ,[i ga ko u zu],5
五十崎,いかざき,[i ka za ki],4
五十島,いがしま,[i ga shi ma],4
伊上,いがみ,[i ga mi],3
伊賀屋,いがや,[i ga ya],3
碇ケ関,いかりがせき,[i ka ri ga se ki],6
井川,いかわ,[i ka wa],3
井川さくら,いかわさくら,[i ka wa sa ku ra],6
伊川谷,いかわだに,[i ka wa da ni],5
一貴山,いきさん,[i ki sa n],4
軍畑,いくさばた,[i ku sa ba ta],5
生地,いくじ,[i ku ji],3
生田,いくた,[i ku ta],3
生田原,いくたはら,[i ku ta ha ra],5
幾寅,いくとら,[i ku to ra],4
生野,いくの,[i ku no],3
生野,いくの,[i ku no],3
生野屋,いくのや,[i ku no ya],4
居組,いぐみ,[i gu mi],3
井倉,いくら,[i ku ra],3
池上,いけがみ,[i ke ga mi],4
池下,いけした,[i ke shi ta],4
池尻,いけじり,[i ke ji ri],4
池尻大橋,いけじりおおはし,[i ke ji ri o o ha shi],8
池田,いけだ,[i ke da],3
池田,いけだ,[i ke da],3
池田,いけだ,[i ke da],3
池田園,いけだえん,[i ke da e n],5
池月,いけづき,[i ke zu ki],4
池野,いけの,[i ke no],3
池ノ上,いけのうえ,[i ke no u e],5
池の浦,いけのうら,[i ke no u ra],5
池谷,いけのたに,[i ke no ta ni],5
池戸,いけのべ,[i ke no be],4
池場,いけば,[i ke ba],3
池袋,いけぶくろ,[i ke bu ku ro],5
池部,いけべ,[i ke be],3
いこいの広場,いこいのひろば,[i ko i no hi ro ba],7
いこいの村,いこいのむら,[i ko i no mu ra],6
生駒,いこま,[i ko ma],3
生駒山上,いこまさんじょう,[i ko ma sa n jo u],7
石原,いさ,[i sa],2
井細田,いさいだ,[i sa i da],4
諫早,いさはや,[i sa ha ya],4
諫早東高校,いさはやひがしこうこう,[i sa ha ya hi ga shi ko u ko u],11
伊佐領,いさりょう,[i sa ryo u],4
石和温泉,いさわおんせん,[i sa wa o n se n],7
石井,いしい,[i shi i],3
石井,いしい,[i shi i],3
石打,いしうち,[i shi u chi],4
石岡,いしおか,[i shi o ka],4
石蟹,いしが,[i shi ga],3
石垣,いしかき,[i shi ka ki],4
石上,いしがみ,[i shi ga mi],4
石神前,いしがみまえ,[i shi ga mi ma e],6
石狩当別,いしかりとうべつ,[i shi ka ri to u be tsu],8
石狩沼田,いしかりぬまた,[i shi ka ri nu ma ta],7
石狩太美,いしかりふとみ,[i shi ka ri fu to mi],7
石川,いしかわ,[i shi ka wa],4
石川,いしかわ,[i shi ka wa],4
石川台,いしかわだい,[i shi ka wa da i],6
石川町,いしかわちょう,[i shi ka wa cho u],6
石切,いしきり,[i shi ki ri],4
石倉,いしくら,[i shi ku ra],4
石下,いしげ,[i shi ge],3
石越,いしこし,[i shi ko shi],4
石才,いしざい,[i shi za i],4
石地,いしじ,[i shi ji],3
石田,いしだ,[i shi da],3
石田,いしだ,[i shi da],3
石津,いしづ,[i shi zu],3
石津川,いしづがわ,[i shi zu ga wa],5
石鎚山,いしづちやま,[i shi zu chi ya ma],6
石手川公園,いしてがわこうえん,[i shi te ga wa ko u e n],9
石鳥谷,いしどりや,[i shi do ri ya],5
石巻,いしのまき,[i shi no ma ki],5
石巻あゆみ野,いしのまきあゆみの,[i shi no ma ki a yu mi no],9
石巻港,いしのまきこう,[i shi no ma ki ko u],7
石場,いしば,[i shi ba],3
石橋,いしばし,[i shi ba shi],4
石橋阪大前,いしばしはんだいまえ,[i shi ba shi ha n da i ma e],10
石浜,いしはま,[i shi ha ma],4
石原町,いしはらまち,[i shi ha ra ma chi],6
石部,いしべ,[i shi be],3
石仏,いしぼとけ,[i shi bo to ke],5
石嶺,いしみね,[i shi mi ne],4
石谷,いしや,[i shi ya],3
石屋川,いしやがわ,[i shi ya ga wa],5
石山,いしやま,[i shi ya ma],4
石山寺,いしやまでら,[i shi ya ma de ra],6
伊集院,いじゅういん,[i ju u i n],5
井尻,いじり,[i ji ri],3
石原,いしわら,[i shi wa ra],4
一身田,いしんでん,[i shi n de n],5
伊豆熱川,いずあたがわ,[i zu a ta ga wa],6
伊豆稲取,いずいなとり,[i zu i na to ri],6
いずえ,いずえ,[i zu e],3
伊豆大川,いずおおかわ,[i zu o o ka wa],6
伊豆急下田,いずきゅうしもだ,[i zu kyu u shi mo da],7
伊豆高原,いずこうげん,[i zu ko u ge n],6
五十鈴ケ丘,いすずがおか,[i su zu ga o ka],6
五十鈴川,いすずがわ,[i su zu ga wa],5
伊豆多賀,いずたが,[i zu ta ga],4
伊豆長岡,いずながおか,[i zu na ga o ka],6
伊豆仁田,いずにった,[i zu ni t ta],5
伊豆北川,いずほっかわ,[i zu ho t ka wa],6
泉,いずみ,[i zu mi],3
泉,いずみ,[i zu mi],3
出水,いずみ,[i zu mi],3
泉大津,いずみおおつ,[i zu mi o o tsu],6
和泉大宮,いずみおおみや,[i zu mi o o mi ya],7
泉ケ丘,いずみがおか,[i zu mi ga o ka],6
泉郷,いずみごう,[i zu mi go u],5
泉崎,いずみざき,[i zu mi za ki],5
泉佐野,いずみさの,[i zu mi sa no],5
泉沢,いずみさわ,[i zu mi sa wa],5
和泉砂川,いずみすながわ,[i zu mi su na ga wa],7
泉田,いずみた,[i zu mi ta],4
泉体育館,いずみたいいくかん,[i zu mi ta i i ku ka n],9
和泉多摩川,いずみたまがわ,[i zu mi ta ma ga wa],7
いずみ中央,いずみちゅうおう,[i zu mi chu u o u],7
泉中央,いずみちゅうおう,[i zu mi chu u o u],7
和泉中央,いずみちゅうおう,[i zu mi chu u o u],7
和泉鳥取,いずみとっとり,[i zu mi to t to ri],7
いずみ野,いずみの,[i zu mi no],4
和泉橋本,いずみはしもと,[i zu mi ha shi mo to],7
和泉府中,いずみふちゅう,[i zu mi fu chu u],6
出目,いずめ,[i zu me],3
出雲坂根,いずもさかね,[i zu mo sa ka ne],6
出雲崎,いずもざき,[i zu mo za ki],5
出雲市,いずもし,[i zu mo shi],4
出雲神西,いずもじんざい,[i zu mo ji n za i],7
出雲大社前,いずもたいしゃまえ,[i zu mo ta i sha ma e],8
出雲大東,いずもだいとう,[i zu mo da i to u],7
出雲三成,いずもみなり,[i zu mo mi na ri],6
出雲八代,いずもやしろ,[i zu mo ya shi ro],6
出雲横田,いずもよこた,[i zu mo yo ko ta],6
石動,いするぎ,[i su ru gi],4
出馬,いずんま,[i zu n ma],4
伊勢朝日,いせあさひ,[i se a sa hi],5
伊勢石橋,いせいしばし,[i se i shi ba shi],6
